ESM1b_AVE_91,ESM1b_AVE_497,ESM1b_AVE_315
0.525871077,0.549982577,0.183546425
0.620005107,0.745892431,0.245561286
0.612868741,0.705047942,0.182137248
0.551816521,0.627941493,0.177627342
0.616528135,0.658489993,0.231866477
0.604429944,0.737022123,0.090336703
0.5738014,0.667397402,0.153490458
0.572447142,0.660348599,0.264567085
0.557572532,0.676618007,0.270432666
0.562745894,0.628908028,0.141333347
0.480175034,0.584166958,0.152123273
0.649267713,0.855355304,0.193069293
0.627388561,0.629979453,0.249191721
0.47721276,0.653464262,0.138224733
0.403660262,0.813466375,0.522166768
0.513624639,0.781569455,0.038220099
0.615234811,0.67296249,0.101778065
0.572291745,0.652001955,0.255378607
0.585506711,0.574658308,0.123080773
0.769845628,0.809959014,0.131307063
0.657772737,0.715196263,0.112823427
0.573125996,0.804407035,0.616308924
0.523701513,0.65768765,0.216046074
0.522316332,0.76158664,0.604096798
0.490111127,0.611275538,0.224483158
0.633966912,0.704916215,0.107137168
0.433932275,0.430344102,0.523374631
0.598957252,0.676662874,0.196437997
0.719516935,0.64006922,0.137673836
0.518082516,0.663709215,0.139688592
0.689758824,0.589519824,0.106302202
0.52268927,0.777556294,0.193318282
0.518597995,0.700882324,0.266396276
0.587697112,0.825501867,0.171313815
0.621521331,0.636892228,0.101770334
0.787558004,0.733854668,0.241822684
0.628272565,0.662962584,0.237664529
0.614492982,0.627831157,0.205183318
0.723817607,0.585238512,0.110404562
0.599734119,0.772522502,0.158748423
0.893347029,0.645167715,0.3304984
0.636757697,0.699329967,0.141825406
0.560849382,0.815497866,0.294752275
0.544152749,0.696654567,0.300505788
0.827107893,0.854545312,0.231013123
0.610129534,0.663115006,0.231807039
0.506241202,0.593263294,0.279620357
0.601930558,0.762819476,0.231963715
0.604412193,0.707712229,0.232544904
0.627010363,0.670716454,0.212878261
0.641110727,0.77771307,0.386170617
0.666854588,0.732466897,0.213031739
0.75300682,0.611944692,0.129194093
0.664986245,0.634127128,0.098499929
0.535689846,0.668261912,0.178557682
0.646812855,0.695011203,0.153057923
0.589810851,0.697923995,0.279829236
0.568335444,0.787851739,0.23444737
0.663561199,0.789834338,0.205284439
0.676890651,0.594582553,0.175834138
0.445407602,0.671920148,0.139608629
0.730854301,0.645096769,0.144326627
0.722010912,0.679221085,0.164501543
0.546409293,0.737007844,0.203198221
0.53354978,0.618055388,0.227121266
0.702959058,0.678114952,0.15641113
0.621477866,0.790319786,0.287230309
0.725554027,0.631944384,0.218956842
0.602687186,0.732430167,0.122460398
0.598116996,0.657484666,0.22287126
0.605663893,0.61758575,0.141762581
0.667774426,0.718069658,0.201862182
0.585786697,0.750786376,0.107279904
0.691516911,0.659775162,0.109373905
0.80049169,0.731664887,0.212314194
0.635809541,0.653077287,0.344950864
0.5490406,0.720222297,0.350776404
0.608705565,0.640609533,0.098265394
0.708054282,0.641574415,0.175638533
0.647859771,0.727323966,0.109307438
0.758099256,0.636630451,0.291903185
0.566475363,0.659399414,0.149146105
0.612895832,0.67330625,0.176827286
0.568336356,0.703809928,0.04737052
0.607941456,0.677085968,0.374382676
0.618240616,0.643121962,0.199635417
